symbol,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,irWebsite,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,address2,bid,ask
ORCL,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,"Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, Oracle Fusion cloud supply chain and manufacturing management, Oracle Fusion cloud human capital management, Oracle Cerner healthcare, and NetSuite applications suite, as well as Oracle Fusion Sales, Service, and Marketing. The company also offers cloud-based industry solutions for various industries; Oracle application licenses; and Oracle license support services. In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database and MySQL Database; Java, a software development language; and middleware, including development tools and others. The company's cloud and license business' infrastructure technologies also comprise cloud-based compute, storage, and networking capabilities; and Oracle autonomous database and MySQL HeatWave, as well as Internet-of-Things, digital assistant, and blockchain. Further, it provides hardware products and other hardware-related software offerings, including Oracle engineered systems, enterprise servers, storage solutions, industry-specific hardware, virtualization software, operating systems, management software, and related hardware services, as well as hardware support products; and consulting and customer services. The company markets and sells its cloud, license, hardware, support, and services offerings directly to businesses in various industries, government agencies, and educational institutions, as well as through indirect channels. Oracle Corporation was founded in 1977 and is headquartered in Austin, Texas.",159000,"[{'maxAge': 1, 'name': 'Mr. Lawrence J. Ellison', 'age': 79, 'title': 'Co-Founder, Chairman & CTO', 'yearBorn': 1944, 'fiscalYear': 2024, 'totalPay': 8305939, 'exercisedValue': 637516096, 'unexercisedValue': 502920000}, {'maxAge': 1, 'name': 'Ms. Safra Ada Catz', 'age': 61, 'title': 'CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2024, 'totalPay': 6464234, 'exercisedValue': 236267568, 'unexercisedValue': 330300000}, {'maxAge': 1, 'name': 'Mr. Jeffrey O. Henley', 'age': 78, 'title': 'Vice Chairman of the Board', 'yearBorn': 1945, 'fiscalYear': 2024, 'totalPay': 1187180, 'exercisedValue': 34580080, 'unexercisedValue': 117760000}, {'maxAge': 1, 'name': 'Mr. Stuart A. Levey', 'age': 59, 'title': 'Executive VP & Chief Legal Officer', 'yearBorn': 1964, 'fiscalYear': 2024, 'totalPay': 1965682, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Edward  Screven', 'age': 58, 'title': 'Executive VP & Chief Corporate Architect', 'yearBorn': 1965, 'fiscalYear': 2024, 'totalPay': 3554110, 'exercisedValue': 65928188, 'unexercisedValue': 53704000}, {'maxAge': 1, 'name': 'Mr. Douglas A. Kehring', 'age': 50, 'title': 'Executive Vice President of Corporate Operations', 'yearBorn': 1973, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Maria  Smith', 'age': 56, 'title': 'Executive VP & Chief Accounting Officer', 'yearBorn': 1967, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jae  Evans', 'title': 'Global Chief Information Officer & Executive VP', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ken  Bond', 'title': 'Senior Vice President of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew  Morawski', 'title': 'Executive VP & GM of Communications', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]",5,9,10,5,10,1733011200,1735603200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,184.84,185.29,181.0,185.05,184.84,185.29,181.0,185.05,1.6,0.0088,1728518400.0,0.4124,1.48,1.013,46.755154,25.373234,6659057,6659057,8795656,8109110,8109110,800,800,502697984000,99.26,196.04,9.341224,177.1344,141.6458,1.6,0.008656136,USD,576738295808,0.20396,1617026086,2771059968,21170106,19287752,1728950400,1731628800,0.0076,0.41597998,0.44821,3.47,0.013099999,2771059968,3.903,46.47963,1717113600,1748649600,1725062400,0.21,10976000000,3.88,7.16,2:1,971395200.0,10.717,26.452,0.6139003,0.32081068,0.4,1728518400.0,NYQ,EQUITY,ORCL,Oracle Corporation,Oracle Corporation,511021800,America/New_York,EST,238bd614-c63c-3123-8e2f-66b49fcfafed,finmb_22247,-18000000,181.41,214.0,140.0,183.45241,190.0,1.91176,buy,29,10910999552,3.938,21802999808,84514996224,0.591,0.72,53815001088,749.978,19.553,0.072909996,1.55578,10339500032,19125999616,0.198,0.069,0.71310997,0.40515,0.30517998,USD,1.9098,,,
UPWK,475 Brannan Street,San Francisco,CA,94107,United States,650 316 7500,https://www.upwork.com,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"Upwork Inc., together with its subsidiaries, operates a work marketplace that connects businesses with various independent professionals and agencies in the United States, India, the Philippines, and internationally. The company's work marketplace provides access to talent with various skills across a range of categories, including administrative support, sales and marketing, design and creative, and customer service, as well as web, mobile, and software development. Its work marketplace also enables clients to streamline workflows, such as talent sourcing, outreach, and contracting. The company's work marketplace offers access to various functionalities for remote engagements with talent, including communication and collaboration, ability to receive talent invoices through their work marketplace, and payment protection. Its marketplace offerings include Upwork Payroll and Upwork Enterprise, as well as managed and escrow services. The company was formerly known as Elance-oDesk, Inc. and changed its name to Upwork Inc. in May 2015. Upwork Inc. was incorporated in 2013 and is headquartered in San Francisco, California.",800,"[{'maxAge': 1, 'name': 'Ms. Hayden  Brown', 'age': 41, 'title': 'President, CEO & Director', 'yearBorn': 1982, 'fiscalYear': 2023, 'totalPay': 913478, 'exercisedValue': 0, 'unexercisedValue': 2928524}, {'maxAge': 1, 'name': 'Ms. Erica  Gessert', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1975, 'fiscalYear': 2023, 'totalPay': 738930, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Olivier  Marie', 'age': 53, 'title': 'Chief Accounting Officer, Treasurer, Principal Accounting Officer & Controller', 'yearBorn': 1970, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Samuel  Meehan', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brian  Levey J.D.', 'age': 55, 'title': 'Chief Business Affairs & Legal Officer and Corporate Secretary', 'yearBorn': 1968, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Peter  Sanborn', 'title': 'Vice President of Strategy, Corporate Development & Partnerships', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Sunita  Solao', 'age': 47, 'title': 'Chief People Officer', 'yearBorn': 1976, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew  Rabinovich', 'title': 'VP, Head of AI & Machine Learning', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Paul  Black', 'title': 'VP of Engineering & Chief Information Security Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dave  Bottoms', 'age': 52, 'title': 'General Manager of Marketplace', 'yearBorn': 1971, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",2,4,9,4,5,1733011200,1703980800,,86400,2,16.97,17.02,16.87,17.53,16.97,17.02,16.87,17.53,,,,,,1.492,27.935484,14.286421,3319454,3319454,2262174,2287460,2287460,300,300,2315112448,8.43,17.79,3.0390987,12.8064,11.66025,,,USD,2083395584,0.11262,116730162,133667000,10828547,11171712,1728950400,1731628800,0.081,0.07548,0.79133004,3.54,0.0992,133667000,3.08,5.623377,1703980800,1735603200,1727654400,0.699,85794000,0.62,1.16,,,2.735,32.603,0.22438669,0.32081068,,,NMS,EQUITY,UPWK,Upwork Inc.,Upwork Inc.,1538573400,America/New_York,EST,e481ad95-7a0c-3ac1-b116-81d6cf80ad11,finmb_425007667,-18000000,17.32,24.0,16.0,18.36364,18.0,2.0,buy,11,601182976,4.498,63902000,369464000,2.358,3.179,761776000,89.857,5.676,0.03709,0.22754,98692376,139735008,0.7,0.103,0.76723,0.08389,0.1073,USD,0.4967,Suite 430,17.27,17.36
TSLA,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"[{'maxAge': 1, 'name': 'Mr. Elon R. Musk', 'age': 51, 'title': 'Co-Founder, Technoking of Tesla, CEO & Director', 'yearBorn': 1972, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Vaibhav  Taneja', 'age': 45, 'title': 'Chief Financial Officer', 'yearBorn': 1978, 'fiscalYear': 2023, 'totalPay': 278000, 'exercisedValue': 8517957, 'unexercisedValue': 202075632}, {'maxAge': 1, 'name': 'Mr. Xiaotong  Zhu', 'age': 43, 'title': 'Senior Vice President of Automotive', 'yearBorn': 1980, 'fiscalYear': 2023, 'totalPay': 926877, 'exercisedValue': 0, 'unexercisedValue': 344144320}, {'maxAge': 1, 'name': 'Travis  Axelrod', 'title': 'Head of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Brian  Scelfo', 'title': 'Senior Director of Corporate Development', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Franz  von Holzhausen', 'title': 'Chief Designer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John  Walker', 'age': 60, 'title': 'Vice President of Sales - North America', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 121550, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Peter  Bannon', 'title': 'Chip Architect', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Turner  Caldwell', 'title': 'Engineering Manager', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rodney D. Westmoreland Jr.', 'title': 'Director of Construction Management', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",7,9,10,9,10,1733011200,1703980800,,86400,2,345.16,352.515,351.1501,360.0,345.16,352.515,351.1501,360.0,,,,,,2.295,98.10165,108.45855,76290836,76290836,89310980,79658420,79658420,200,300,1146280345600,138.8,361.93,11.799077,272.6438,214.8327,,,USD,1126194216960,0.13075,2793105010,3210060032,76444266,79364249,1728950400,1731628800,0.0238,0.12911999,0.47897997,0.74,0.0273,3210060032,21.806,16.375769,1703980800,1735603200,1727654400,0.169,12743000064,3.64,3.24,3:1,1661385600.0,11.592,85.034,0.44587803,0.32081068,,,NMS,EQUITY,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,357.09,411.0,116.0,243.13881,239.0,2.77083,hold,42,33648001024,10.482,13244000256,12782999552,1.214,1.844,97150001152,18.078,30.457,0.04759,0.20389,676625024,14478999552,0.17,0.078,0.18229,0.13633001,0.107889995,USD,9.9006,,350.0,357.28
AAPL,One Apple Park Way,Cupertino,CA,95014,United States,(408) 996-1010,https://www.apple.com,Consumer Electronics,consumer-electronics,Consumer Electronics,Technology,technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",164000,"[{'maxAge': 1, 'name': 'Mr. Timothy D. Cook', 'age': 62, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 16239562, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Luca  Maestri', 'age': 60, 'title': 'CFO & Senior VP', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 4612242, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeffrey E. Williams', 'age': 59, 'title': 'Chief Operating Officer', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4637585, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Katherine L. Adams', 'age': 59, 'title': 'Senior VP, General Counsel & Secretary', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4618064, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': ""Ms. Deirdre  O'Brien"", 'age': 56, 'title': 'Chief People Officer & Senior VP of Retail', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 4613369, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chris  Kondo', 'title': 'Senior Director of Corporate Accounting', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Suhasini  Chandramouli', 'title': 'Director of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Greg  Joswiak', 'title': 'Senior Vice President of Worldwide Marketing', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adrian  Perica', 'age': 49, 'title': 'Head of Corporate Development', 'yearBorn': 1974, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Fenger', 'title': 'VP of Worldwide Sales', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",6,1,2,1,1,1733011200,1703980800,http://investor.apple.com/,86400,2,237.33,237.27,237.16,240.79,237.33,237.27,237.16,240.79,1.0,0.0042,1731024000.0,0.1612,0.62,1.24,39.34154,28.840204,41321136,41321136,48456875,44238650,44238650,100,100,3621594333184,164.08,240.79,9.26156,228.8844,205.82645,0.98,0.0041292715,USD,3675487993856,0.23971,15091184209,15115799552,141037864,140919653,1728950400,1731628800,0.0093,0.02056,0.61919,3.21,0.0093,15332100096,3.767,63.602337,1727481600,1759017600,1727481600,-0.358,93736001536,6.09,8.31,4:1,1598832000.0,9.399,27.294,0.22701895,0.32081068,0.25,1731024000.0,NMS,EQUITY,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EST,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-18000000,239.59,300.0,184.0,244.47739,250.0,1.89362,buy,42,65171001344,4.311,134660997120,119058997248,0.745,0.867,391034994688,209.059,25.485,0.21464,1.5741299,110846001152,118254002176,-0.341,0.061,0.46206,0.34437,0.31171,USD,2.4755,,230.5,239.65
NFLX,121 Albright Way,Los Gatos,CA,95032,United States,(408) 540-3700,https://www.netflix.com,Entertainment,entertainment,Entertainment,Communication Services,communication-services,Communication Services,"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, feature films, and games across various genres and languages. The company also provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, TV set-top boxes, and mobile devices. It has operations in approximately 190 countries. The company was incorporated in 1997 and is headquartered in Los Gatos, California.",13000,"[{'maxAge': 1, 'name': 'Mr. Wilmot Reed Hastings Jr.', 'age': 63, 'title': 'Co-Founder & Executive Chairman', 'yearBorn': 1960, 'fiscalYear': 2023, 'totalPay': 647054, 'exercisedValue': 84432176, 'unexercisedValue': 679795584}, {'maxAge': 1, 'name': 'Mr. Theodore A. Sarandos', 'age': 58, 'title': 'Co-CEO, President & Director', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 21526316, 'exercisedValue': 15418673, 'unexercisedValue': 154477888}, {'maxAge': 1, 'name': 'Mr. Gregory K. Peters', 'age': 52, 'title': 'Co-CEO, President & Director', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 17449536, 'exercisedValue': 2932705, 'unexercisedValue': 64158196}, {'maxAge': 1, 'name': 'Mr. Spencer Adam Neumann', 'age': 53, 'title': 'Chief Financial Officer', 'yearBorn': 1970, 'fiscalYear': 2023, 'totalPay': 7094073, 'exercisedValue': 0, 'unexercisedValue': 26783668}, {'maxAge': 1, 'name': 'Mr. David  Hyman J.D.', 'age': 57, 'title': 'Chief Legal Officer & Secretary', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 4016044, 'exercisedValue': 7839044, 'unexercisedValue': 50648104}, {'maxAge': 1, 'name': 'Mr. Meabe Sergio Ezama', 'age': 51, 'title': 'Chief Talent Officer', 'yearBorn': 1972, 'fiscalYear': 2023, 'totalPay': 3873554, 'exercisedValue': 3018513, 'unexercisedValue': 321909}, {'maxAge': 1, 'name': 'Mr. Jeffrey William Karbowski', 'age': 44, 'title': 'Chief Accounting Officer & Principal Accounting Officer', 'yearBorn': 1979, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Elizabeth  Stone', 'title': 'Chief Technology Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Spencer  Wang', 'title': 'Vice President of Finance, Corporate Development & Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marian  Lee', 'age': 44, 'title': 'Chief Marketing Officer', 'yearBorn': 1979, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",10,9,9,6,9,1733011200,1703980800,,86400,2,886.81,888.33,884.505,902.34,886.81,888.33,884.505,902.34,,,,,,1.25,50.748444,37.66326,2371412,2371412,3216914,3714900,3714900,100,100,383746113536,445.73,908.0,10.209468,769.5126,669.0628,,,USD,393030959104,0.20701,424470182,427457984,7670169,7167190,1728950400,1731628800,0.0179,0.00738,0.8634,2.03,0.018099999,427457984,53.153,16.889732,1703980800,1735603200,1727654400,0.409,7780861952,17.69,23.78,7:1,1436918400.0,10.456,39.394,0.9483906,0.32081068,,,NMS,EQUITY,NFLX,"Netflix, Inc.","Netflix, Inc.",1022160600,America/New_York,EST,1a1cddac-4d41-374d-b202-739314177b67,finmb_32012,-18000000,897.74,1100.0,550.0,792.93854,800.0,2.04348,buy,41,9223926784,21.579,9976898560,18508648448,0.975,1.133,37587279872,81.461,87.106,0.1184,0.34714,21647300608,7487483904,0.448,0.15,0.45251,0.26543,0.29614002,USD,1.8295,,896.7,898.74
